,YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,OUTAGE.DURATION,RES.PRICE,COM.PRICE,IND.PRICE,TOTAL.PRICE,RES.SALES,COM.SALES,IND.SALES,TOTAL.SALES,RES.PERCEN,COM.PERCEN,IND.PERCEN,RES.CUSTOMERS,COM.CUSTOMERS,IND.CUSTOMERS,TOTAL.CUSTOMERS,RES.CUST.PCT,COM.CUST.PCT,IND.CUST.PCT,PC.REALGSP.STATE,PC.REALGSP.USA,PC.REALGSP.REL,PC.REALGSP.CHANGE,UTIL.REALGSP,TOTAL.REALGSP,UTIL.CONTRI,PI.UTIL.OFUSA,POPULATION,POPPCT_URBAN,POPPCT_UC,POPDEN_URBAN,POPDEN_UC,POPDEN_RURAL,AREAPCT_URBAN,AREAPCT_UC,PCT_LAND,PCT_WATER_TOT,PCT_WATER_INLAND,CUSTOMERS.AFFECTED
0,2011,7.0,Minnesota,MN,MRO,East North Central,-0.3,normal,2011-07-01,17:00:00,2011-07-03,20:00:00,severe weather,3060.0,11.6,9.18,6.81,9.28,2332915.0,2114774.0,2113291.0,6562520.0,35.5490726123501,32.2250294094342,32.2024313830663,2308736,276286,10673,2595696,88.94477627580424,10.64400453674082,0.4111806621422539,51268,47586,1.07737569873492,1.6,4802,274182,1.75139141154416,2.2,5348119,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,70000.0
1,2014,5.0,Minnesota,MN,MRO,East North Central,-0.1,normal,2014-05-11,18:38:00,2014-05-11,18:39:00,intentional attack,1.0,12.12,9.71,6.49,9.28,1586986.0,1807756.0,1887927.0,5284231.0,30.0324872247258,34.2103893641289,35.7275637647181,2345860,284978,9898,2640737,88.83353397176622,10.791608554733017,0.3748196052844338,53499,49091,1.08979242631032,1.9,5226,291955,1.79000188385196,2.2,5457125,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,
2,2010,10.0,Minnesota,MN,MRO,East North Central,-1.5,cold,2010-10-26,20:00:00,2010-10-28,22:00:00,severe weather,3000.0,10.87,8.19,6.07,8.15,1467293.0,1801683.0,1951295.0,5222116.0,28.0976715185951,34.5010145312743,37.365983444259,2300291,276463,10150,2586905,88.92058270404209,10.687017884305764,0.3923607554200869,50447,47287,1.0668259775414,2.7,4571,267895,1.70626551447395,2.1,5310903,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,70000.0
3,2012,6.0,Minnesota,MN,MRO,East North Central,-0.1,normal,2012-06-19,04:30:00,2012-06-20,23:00:00,severe weather,2550.0,11.79,9.25,6.71,9.19,1851519.0,1941174.0,1993026.0,5787064.0,31.9940992530928,33.5433304349148,34.4393288202792,2317336,278466,11010,2606813,88.89536763856863,10.682239193988982,0.4223548064245498,51598,48156,1.07147603621563,0.6,5364,277627,1.93208873776686,2.2,5380443,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,68200.0
4,2015,7.0,Minnesota,MN,MRO,East North Central,1.2,warm,2015-07-18,02:00:00,2015-07-19,07:00:00,severe weather,1740.0,13.07,10.16,7.74,10.43,2028875.0,2161612.0,1777937.0,5970339.0,33.982576198772,36.2058502875632,29.7794982830958,2374674,289044,9812,2673531,88.82163700364798,10.811320310106746,0.3670052825271149,54431,49844,1.09202712462884,1.7,4873,292023,1.66870417741068,2.2,5489594,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,250000.0
5,2010,11.0,Minnesota,MN,MRO,East North Central,-1.4,cold,2010-11-13,15:00:00,2010-11-14,22:00:00,severe weather,1860.0,10.63,8.34,6.15,8.28,1676347.0,1786144.0,1909874.0,5374150.0,31.1927839751403,33.2358419470986,35.5381595229013,2300291,276463,10150,2586905,88.92058270404209,10.687017884305764,0.3923607554200869,50447,47287,1.0668259775414,2.7,4571,267895,1.70626551447395,2.1,5310903,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,60000.0
6,2010,7.0,Minnesota,MN,MRO,East North Central,-0.9,cold,2010-07-17,20:30:00,2010-07-19,22:00:00,severe weather,2970.0,11.41,9.11,6.71,9.12,2187537.0,2100828.0,2084709.0,6374935.0,34.3146557572744,32.9545007125563,32.701651075658,2300291,276463,10150,2586905,88.92058270404209,10.687017884305764,0.3923607554200869,50447,47287,1.0668259775414,2.7,4571,267895,1.70626551447395,2.1,5310903,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,63000.0
7,2005,6.0,Minnesota,MN,MRO,East North Central,0.2,normal,2005-06-08,04:00:00,2005-06-10,22:00:00,severe weather,3960.0,9.1,7.22,5.69,7.36,1883344.0,1935444.0,1786652.0,5607498.0,33.5861733700128,34.5152864967584,31.861839273059,2211000,255645,8266,2474912,89.33650974256862,10.329458178715042,0.33399167323929096,52445,48090,1.09055936785194,2.0,3997,268496,1.48866277337465,2.1,5119598,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,300000.0
8,2015,3.0,Minnesota,MN,MRO,East North Central,0.6,warm,2015-03-16,07:31:00,2015-03-16,10:06:00,intentional attack,155.0,11.53,8.89,6.61,9.03,1844298.0,1956866.0,1795865.0,5599486.0,32.9369159955039,34.9472433719809,32.0719616050473,2374674,289044,9812,2673531,88.82163700364798,10.811320310106746,0.3670052825271149,54431,49844,1.09202712462884,1.7,4873,292023,1.66870417741068,2.2,5489594,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,5941.0
9,2013,6.0,Minnesota,MN,MRO,East North Central,-0.2,normal,2013-06-21,17:39:00,2013-06-24,06:00:00,severe weather,3621.0,12.71,10.31,7.29,10.0,1688619.0,1895099.0,1905375.0,5490631.0,30.7545526188156,34.5151404273935,34.7022956013617,2329734,281187,11383,2622305,88.84298355835801,10.722894552693147,0.4340837545594429,52479,48396,1.08436647656831,1.7,5613,284542,1.97264375733635,2.3,5420541,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,400000.0
10,2013,6.0,Minnesota,MN,MRO,East North Central,-0.2,normal,2013-06-21,03:00:00,2013-06-26,12:00:00,severe weather,7740.0,12.71,10.31,7.29,10.0,1688619.0,1895099.0,1905375.0,5490631.0,30.7545526188156,34.5151404273935,34.7022956013617,2329734,281187,11383,2622305,88.84298355835801,10.722894552693147,0.4340837545594429,52479,48396,1.08436647656831,1.7,5613,284542,1.97264375733635,2.3,5420541,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,193000.0
11,2005,9.0,Minnesota,MN,MRO,East North Central,0.0,normal,2005-09-21,19:00:00,2005-09-27,23:00:00,severe weather,8880.0,8.76,7.58,4.94,7.03,1720089.0,1884242.0,1928620.0,5535009.0,31.0765348349027,34.0422572031952,34.8440264505442,2211000,255645,8266,2474912,89.33650974256862,10.329458178715042,0.33399167323929096,52445,48090,1.09055936785194,2.0,3997,268496,1.48866277337465,2.1,5119598,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,200000.0
12,2011,7.0,Minnesota,MN,MRO,East North Central,-0.3,normal,2011-07-08,10:00:00,2011-07-08,10:00:00,intentional attack,0.0,11.6,9.18,6.81,9.28,2332915.0,2114774.0,2113291.0,6562520.0,35.5490726123501,32.2250294094342,32.2024313830663,2308736,276286,10673,2595696,88.94477627580424,10.64400453674082,0.4111806621422539,51268,47586,1.07737569873492,1.6,4802,274182,1.75139141154416,2.2,5348119,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,0.0
13,2011,5.0,Minnesota,MN,MRO,East North Central,-0.4,normal,2011-05-11,15:55:00,2011-05-12,13:57:00,intentional attack,1322.0,11.23,8.91,6.46,8.7,1568544.0,1770802.0,1921812.0,5262668.0,29.805110259663,33.6483699902787,36.5178270793445,2308736,276286,10673,2595696,88.94477627580424,10.64400453674082,0.4111806621422539,51268,47586,1.07737569873492,1.6,4802,274182,1.75139141154416,2.2,5348119,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,0.0
14,2014,6.0,Minnesota,MN,MRO,East North Central,0.0,normal,2014-06-15,00:00:00,2014-06-15,01:00:00,severe weather,60.0,12.73,10.53,6.97,10.02,1753319.0,1935822.0,1883117.0,5574073.0,31.4548984198808,34.7290392501139,33.783500861937,2345860,284978,9898,2640737,88.83353397176622,10.791608554733017,0.3748196052844338,53499,49091,1.08979242631032,1.9,5226,291955,1.79000188385196,2.2,5457125,73.27,15.28,2279.0,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,55951.0
15,2015,6.0,Tennessee,TN,SERC,Central,1.0,warm,2015-06-07,13:54:00,2015-06-07,14:13:00,system operability disruption,19.0,10.43,10.36,6.81,9.59,3400800.0,2993975.0,1864031.0,8258806.0,41.1778651780899,36.2519109905233,22.5702238313868,2783058,476405,1245,3260708,85.35134087443585,14.610477233778676,0.038181891785464994,42457,49844,0.851797608538641,1.2,1692,282752,0.598404255319149,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,
16,2012,8.0,Tennessee,TN,SERC,Central,0.3,normal,2012-08-13,13:15:00,2012-08-13,13:15:00,intentional attack,0.0,10.0,10.21,7.75,9.47,4401454.0,2833658.0,2556236.0,9791474.0,44.9519040749125,28.9400553992177,26.1067536920386,2721099,466513,1957,3189570,85.31240888270206,14.626203532137561,0.061356232971842596,41469,48156,0.861138798903563,2.5,1819,267689,0.679519890619338,0.4,6455469,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,
17,2015,6.0,Tennessee,TN,SERC,Central,1.0,warm,2015-06-07,13:52:00,2015-06-07,14:13:00,system operability disruption,21.0,10.43,10.36,6.81,9.59,3400800.0,2993975.0,1864031.0,8258806.0,41.1778651780899,36.2519109905233,22.5702238313868,2783058,476405,1245,3260708,85.35134087443585,14.610477233778676,0.038181891785464994,42457,49844,0.851797608538641,1.2,1692,282752,0.598404255319149,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,
18,2011,4.0,Tennessee,TN,SERC,Central,-0.5,cold,2011-04-19,22:44:00,2011-04-20,02:00:00,severe weather,196.0,9.98,10.1,6.48,8.91,2789635.0,2193662.0,2295490.0,7278927.0,38.3248107859853,30.1371616997945,31.5361041538128,2708113,463992,2017,3174123,85.3184643443244,14.617959039394504,0.06354511151584233,40465,47586,0.850355146471651,2.0,1798,258910,0.694449808813874,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,64000.0
19,2008,2.0,Tennessee,TN,SERC,Central,-1.3,cold,2008-02-06,09:00:00,2008-02-06,23:00:00,severe weather,840.0,7.81,8.3,5.43,7.23,4104225.0,2351868.0,2688165.0,9144470.0,44.8820434645201,25.7190192542597,29.3966189401901,2685425,460419,2094,3147939,85.30740271650753,14.626045803301778,0.06651971337436971,41201,48401,0.851242742918535,-0.1,1764,257402,0.68530936045563,0.5,6247411,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,57000.0
20,2015,1.0,Tennessee,TN,SERC,Central,0.6,warm,2015-01-07,17:00:00,2015-01-08,08:35:00,severe weather,935.0,9.96,10.1,5.94,9.18,4349520.0,2737860.0,1839206.0,8926587.0,48.7254535243985,30.6708487801665,20.6036864929452,2783058,476405,1245,3260708,85.35134087443585,14.610477233778676,0.038181891785464994,42457,49844,0.851797608538641,1.2,1692,282752,0.598404255319149,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,
21,2012,7.0,Tennessee,TN,SERC,Central,0.1,normal,2012-07-05,19:00:00,2012-07-06,16:00:00,severe weather,1260.0,10.14,10.48,7.94,9.67,4522619.0,2835322.0,2519139.0,9877219.0,45.7883843620355,28.705671100337,25.5045372589187,2721099,466513,1957,3189570,85.31240888270206,14.626203532137561,0.061356232971842596,41469,48156,0.861138798903563,2.5,1819,267689,0.679519890619338,0.4,6455469,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,50001.0
23,2013,4.0,Tennessee,TN,SERC,Central,-0.2,normal,2013-04-21,02:11:00,2013-04-21,12:30:00,intentional attack,619.0,9.82,9.85,5.64,8.78,3067553.0,2599461.0,1916818.0,7583977.0,40.4478151766547,34.2756973023521,25.2745755953638,2738547,469382,1191,3209121,85.33635846077478,14.626497411596509,0.037112966447821694,41642,48396,0.860443011819159,0.4,1827,270562,0.675261123143679,0.4,6496130,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,
24,2014,1.0,Tennessee,TN,SERC,Central,-0.5,cold,2014-01-07,06:00:00,2014-01-07,08:30:00,severe weather,150.0,9.73,10.02,6.27,9.13,4795011.0,2841462.0,1912538.0,9549176.0,50.2138718565874,29.7560962328058,20.0283040128279,2756932,471794,1271,3229998,85.35398473930944,14.606634431352589,0.039349869566482704,41955,49091,0.854637306227211,0.8,1739,274775,0.632881448457829,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,
25,2009,7.0,Tennessee,TN,SERC,Central,0.5,warm,2009-07-27,05:05:00,2009-07-27,17:47:00,equipment failure,762.0,9.07,9.39,6.69,8.59,4082451.0,2700144.0,2167606.0,8950358.0,45.6121531675046,30.1679999839113,24.2180927288048,2693821,458054,2040,3153916,85.41194502326631,14.523341775747992,0.06468149437080759,39220,46680,0.84018851756641,-4.8,1598,247321,0.64612386331933,0.5,6306019,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,
26,2011,6.0,Tennessee,TN,SERC,Central,-0.3,normal,2011-06-22,09:46:00,2011-06-22,09:46:00,severe weather,0.0,9.98,10.29,7.71,9.47,3715752.0,2636536.0,2311892.0,8664304.0,42.8857528544705,30.4298648800873,26.6829511060554,2708113,463992,2017,3174123,85.3184643443244,14.617959039394504,0.06354511151584233,40465,47586,0.850355146471651,2.0,1798,258910,0.694449808813874,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,106300.0
27,2011,4.0,Tennessee,TN,SERC,Central,-0.5,cold,2011-04-04,13:00:00,2011-04-05,00:00:00,severe weather,660.0,9.98,10.1,6.48,8.91,2789635.0,2193662.0,2295490.0,7278927.0,38.3248107859853,30.1371616997945,31.5361041538128,2708113,463992,2017,3174123,85.3184643443244,14.617959039394504,0.06354511151584233,40465,47586,0.850355146471651,2.0,1798,258910,0.694449808813874,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,63000.0
28,2014,6.0,Tennessee,TN,SERC,Central,0.0,normal,2014-06-05,13:06:00,2014-06-05,13:07:00,severe weather,1.0,10.85,10.79,7.21,9.93,3362567.0,2962880.0,2079166.0,8404698.0,40.0081835183132,35.2526646406569,24.7381405018955,2756932,471794,1271,3229998,85.35398473930944,14.606634431352589,0.039349869566482704,41955,49091,0.854637306227211,0.8,1739,274775,0.632881448457829,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,56475.0
29,2012,6.0,Tennessee,TN,SERC,Central,-0.1,normal,2012-06-30,15:00:00,2012-07-02,12:00:00,public appeal,2700.0,10.24,10.47,7.63,9.55,3426874.0,2521819.0,2446188.0,8395017.0,40.8203342530456,30.0394746073772,29.1385711309459,2721099,466513,1957,3189570,85.31240888270206,14.626203532137561,0.061356232971842596,41469,48156,0.861138798903563,2.5,1819,267689,0.679519890619338,0.4,6455469,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,
30,2014,6.0,Tennessee,TN,SERC,Central,0.0,normal,2014-06-19,08:47:00,2014-06-19,08:48:00,intentional attack,1.0,10.85,10.79,7.21,9.93,3362567.0,2962880.0,2079166.0,8404698.0,40.0081835183132,35.2526646406569,24.7381405018955,2756932,471794,1271,3229998,85.35398473930944,14.606634431352589,0.039349869566482704,41955,49091,0.854637306227211,0.8,1739,274775,0.632881448457829,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,
31,2011,4.0,Tennessee,TN,SERC,Central,-0.5,cold,2011-04-04,14:00:00,2011-04-08,00:01:00,severe weather,4921.0,9.98,10.1,6.48,8.91,2789635.0,2193662.0,2295490.0,7278927.0,38.3248107859853,30.1371616997945,31.5361041538128,2708113,463992,2017,3174123,85.3184643443244,14.617959039394504,0.06354511151584233,40465,47586,0.850355146471651,2.0,1798,258910,0.694449808813874,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,73000.0
32,2015,5.0,Tennessee,TN,SERC,Central,0.8,warm,2015-05-02,22:51:00,2015-05-03,00:26:00,intentional attack,95.0,10.58,10.15,5.47,9.02,2520710.0,2612194.0,1930968.0,7063873.0,35.6845317009522,36.979628597513,27.3358255449949,2783058,476405,1245,3260708,85.35134087443585,14.610477233778676,0.038181891785464994,42457,49844,0.851797608538641,1.2,1692,282752,0.598404255319149,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,215.0
33,2015,2.0,Tennessee,TN,SERC,Central,0.5,warm,2015-02-21,08:34:00,2015-02-21,12:45:00,severe weather,251.0,9.85,10.08,6.14,9.2,4439168.0,2699413.0,1709771.0,8848352.0,50.1694326807975,30.50752275678,19.3230445624225,2783058,476405,1245,3260708,85.35134087443585,14.610477233778676,0.038181891785464994,42457,49844,0.851797608538641,1.2,1692,282752,0.598404255319149,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,50000.0
34,2014,6.0,Tennessee,TN,SERC,Central,0.0,normal,2014-06-05,03:00:00,2014-06-07,23:45:00,severe weather,4125.0,10.85,10.79,7.21,9.93,3362567.0,2962880.0,2079166.0,8404698.0,40.0081835183132,35.2526646406569,24.7381405018955,2756932,471794,1271,3229998,85.35398473930944,14.606634431352589,0.039349869566482704,41955,49091,0.854637306227211,0.8,1739,274775,0.632881448457829,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,38500.0
35,2011,4.0,Tennessee,TN,SERC,Central,-0.5,cold,2011-04-19,23:02:00,2011-04-21,17:32:00,severe weather,2550.0,9.98,10.1,6.48,8.91,2789635.0,2193662.0,2295490.0,7278927.0,38.3248107859853,30.1371616997945,31.5361041538128,2708113,463992,2017,3174123,85.3184643443244,14.617959039394504,0.06354511151584233,40465,47586,0.850355146471651,2.0,1798,258910,0.694449808813874,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,105000.0
37,2014,1.0,Tennessee,TN,SERC,Central,-0.5,cold,2014-01-23,16:00:00,2014-01-24,12:00:00,severe weather,1200.0,9.73,10.02,6.27,9.13,4795011.0,2841462.0,1912538.0,9549176.0,50.2138718565874,29.7560962328058,20.0283040128279,2756932,471794,1271,3229998,85.35398473930944,14.606634431352589,0.039349869566482704,41955,49091,0.854637306227211,0.8,1739,274775,0.632881448457829,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,
38,2015,3.0,Tennessee,TN,SERC,Central,0.6,warm,2015-03-04,09:05:00,2015-03-04,14:15:00,intentional attack,310.0,9.79,10.03,5.82,9.03,4145396.0,2667288.0,1818519.0,8631202.0,48.0280266873606,30.9028568674444,21.0691280310668,2783058,476405,1245,3260708,85.35134087443585,14.610477233778676,0.038181891785464994,42457,49844,0.851797608538641,1.2,1692,282752,0.598404255319149,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,
39,2013,1.0,Tennessee,TN,SERC,Central,-0.4,normal,2013-01-17,19:02:00,2013-01-19,18:00:00,severe weather,2818.0,9.98,10.22,6.27,9.23,4036964.0,2732219.0,1938626.0,8707973.0,46.3593995985059,31.3760619147533,22.2626551552238,2738547,469382,1191,3209121,85.33635846077478,14.626497411596509,0.037112966447821694,41642,48396,0.860443011819159,0.4,1827,270562,0.675261123143679,0.4,6496130,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,80000.0
40,2011,4.0,Tennessee,TN,SERC,Central,-0.5,cold,2011-04-04,11:47:00,2011-04-08,00:01:00,severe weather,5054.0,9.98,10.1,6.48,8.91,2789635.0,2193662.0,2295490.0,7278927.0,38.3248107859853,30.1371616997945,31.5361041538128,2708113,463992,2017,3174123,85.3184643443244,14.617959039394504,0.06354511151584233,40465,47586,0.850355146471651,2.0,1798,258910,0.694449808813874,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,63000.0
41,2009,6.0,Tennessee,TN,SERC,Central,0.4,normal,2009-06-12,16:37:00,2009-06-12,18:53:00,severe weather,136.0,9.47,9.64,7.05,8.87,3213878.0,2478499.0,2097910.0,7790440.0,41.254126852912,31.8146215104667,26.9292876910675,2693821,458054,2040,3153916,85.41194502326631,14.523341775747992,0.06468149437080759,39220,46680,0.84018851756641,-4.8,1598,247321,0.64612386331933,0.5,6306019,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,136000.0
42,2014,3.0,Tennessee,TN,SERC,Central,-0.4,normal,2014-03-03,06:40:00,2014-03-03,15:28:00,severe weather,528.0,10.57,10.86,6.41,9.65,3577786.0,2539592.0,1962495.0,8080023.0,44.2794036601133,31.4305045913854,24.288235318142,2756932,471794,1271,3229998,85.35398473930944,14.606634431352589,0.039349869566482704,41955,49091,0.854637306227211,0.8,1739,274775,0.632881448457829,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,65904.0
43,2014,1.0,Tennessee,TN,SERC,Central,-0.5,cold,2014-01-07,06:00:00,2014-01-07,08:30:00,severe weather,150.0,9.73,10.02,6.27,9.13,4795011.0,2841462.0,1912538.0,9549176.0,50.2138718565874,29.7560962328058,20.0283040128279,2756932,471794,1271,3229998,85.35398473930944,14.606634431352589,0.039349869566482704,41955,49091,0.854637306227211,0.8,1739,274775,0.632881448457829,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,
44,2011,4.0,Tennessee,TN,SERC,Central,-0.5,cold,2011-04-25,16:33:00,2011-04-25,17:19:00,equipment failure,46.0,9.98,10.1,6.48,8.91,2789635.0,2193662.0,2295490.0,7278927.0,38.3248107859853,30.1371616997945,31.5361041538128,2708113,463992,2017,3174123,85.3184643443244,14.617959039394504,0.06354511151584233,40465,47586,0.850355146471651,2.0,1798,258910,0.694449808813874,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,
45,2014,6.0,Tennessee,TN,SERC,Central,0.0,normal,2014-06-24,14:54:00,2014-06-24,14:55:00,intentional attack,1.0,10.85,10.79,7.21,9.93,3362567.0,2962880.0,2079166.0,8404698.0,40.0081835183132,35.2526646406569,24.7381405018955,2756932,471794,1271,3229998,85.35398473930944,14.606634431352589,0.039349869566482704,41955,49091,0.854637306227211,0.8,1739,274775,0.632881448457829,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,
46,2014,1.0,Tennessee,TN,SERC,Central,-0.5,cold,2014-01-23,04:00:00,2014-01-24,12:00:00,severe weather,1920.0,9.73,10.02,6.27,9.13,4795011.0,2841462.0,1912538.0,9549176.0,50.2138718565874,29.7560962328058,20.0283040128279,2756932,471794,1271,3229998,85.35398473930944,14.606634431352589,0.039349869566482704,41955,49091,0.854637306227211,0.8,1739,274775,0.632881448457829,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,
48,2009,1.0,Tennessee,TN,SERC,Central,-0.7,cold,2009-01-27,21:45:00,2009-01-27,22:17:00,severe weather,32.0,9.59,10.13,7.27,9.16,4221811.0,2337297.0,2180140.0,8739380.0,48.3079005604517,26.7444258059496,24.9461632289705,2693821,458054,2040,3153916,85.41194502326631,14.523341775747992,0.06468149437080759,39220,46680,0.84018851756641,-4.8,1598,247321,0.64612386331933,0.5,6306019,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,
50,2014,1.0,Wisconsin,WI,MRO,East North Central,-0.5,cold,2014-01-22,00:30:00,2014-01-22,02:45:00,intentional attack,135.0,12.86,10.24,7.16,10.28,2393637.0,2089309.0,1959985.0,6442931.0,37.1513679100397,32.4279276000317,30.4207044899286,2631430,345907,5465,2982802,88.22006958557759,11.596713425832489,0.18321698858992316,46676,49091,0.95080564665621,1.9,4680,268742,1.74144718726511,1.9,5759432,70.15,14.35,2123.3,1671.5,32.5,3.47,0.9,82.6890191767436,17.312507634054,3.0490411628191,
51,2005,11.0,Wisconsin,WI,RFC,East North Central,-0.5,cold,2005-11-12,16:00:00,2005-11-14,18:00:00,severe weather,3000.0,9.83,7.71,5.39,7.5,1650676.0,1739443.0,2008345.0,5398464.0,30.5767714668469,32.2210725124776,37.2021560206755,2526303,311844,7145,2845292,88.78888353111034,10.959999887533511,0.25111658135614906,45266,48090,0.941276772717821,1.5,4656,251054,1.85458108614083,2.1,5546166,70.15,14.35,2123.3,1671.5,32.5,3.47,0.9,82.6890191767436,17.312507634054,3.0490411628191,48000.0
52,2013,8.0,Wisconsin,WI,MRO,East North Central,-0.3,normal,2013-08-29,14:57:00,2013-08-29,15:29:00,severe weather,32.0,14.27,11.34,7.92,11.1,1976342.0,2183235.0,2131435.0,6291012.0,31.4153271365561,34.7040348993135,33.8806379641304,2619676,341657,4725,2966058,88.3218062492372,11.518891404011654,0.1593023467511424,45811,48396,0.946586494751632,0.4,5022,263089,1.9088597394798,2.1,5743653,70.15,14.35,2123.3,1671.5,32.5,3.47,0.9,82.6890191767436,17.312507634054,3.0490411628191,7000.0
